comparison,project,llm,generated_relative_path,original_relative_path,generated_complexity,original_complexity,delta_complexity,generated_complexity_per_100_ncloc,original_complexity_per_100_ncloc,delta_complexity_per_100_ncloc
original_vs_autonomous,Cuisine-Predictor,chatgpt,Cuisine-Predictor/GENAIGREENML_autonomous_chatgpt.py,Cuisine-Predictor/GENAIGREENML_original_telemetry_chatgpt.py,69,19,50,28.0488,22.8916,5.1572
original_vs_autonomous,Cuisine-Predictor,codex,Cuisine-Predictor/GENAIGREENML_autonomous_codex.py,Cuisine-Predictor/GENAIGREENML_original_telemetry_chatgpt.py,66,19,47,30.9859,22.8916,8.0943
original_vs_autonomous,Cuisine-Predictor,gemini,Cuisine-Predictor/GENAIGREENML_autonomous_gemini.py,Cuisine-Predictor/GENAIGREENML_original_telemetry_chatgpt.py,26,19,7,34.2105,22.8916,11.3190
original_vs_assisted,Decision-Trees,chatgpt,Decision-Trees/GENAIGREENML_assisted_chatgpt.py,Decision-Trees/GENAIGREENML_original_telemetry_chatgpt.py,69,57,12,23.3898,22.5296,0.8602
original_vs_assisted,Decision-Trees,claude,Decision-Trees/GENAIGREENML_assisted_claude.py,Decision-Trees/GENAIGREENML_original_telemetry_chatgpt.py,60,57,3,39.7351,22.5296,17.2055
original_vs_assisted,Decision-Trees,codex,Decision-Trees/GENAIGREENML_assisted_codex.py,Decision-Trees/GENAIGREENML_original_telemetry_chatgpt.py,74,57,17,34.7418,22.5296,12.2121
original_vs_assisted,Decision-Trees,gemini,Decision-Trees/GENAIGREENML_assisted_gemini.py,Decision-Trees/GENAIGREENML_original_telemetry_chatgpt.py,47,57,-10,32.6389,22.5296,10.1092
original_vs_autonomous,Decision-Trees,chatgpt,Decision-Trees/GENAIGREENML_autonomous_chatgpt.py,Decision-Trees/GENAIGREENML_original_telemetry_chatgpt.py,58,57,1,30.8511,22.5296,8.3214
original_vs_autonomous,Decision-Trees,codex,Decision-Trees/GENAIGREENML_autonomous_codex.py,Decision-Trees/GENAIGREENML_original_telemetry_chatgpt.py,70,57,13,35.3535,22.5296,12.8239
original_vs_autonomous,Decision-Trees,gemini,Decision-Trees/GENAIGREENML_autonomous_gemini.py,Decision-Trees/GENAIGREENML_original_telemetry_chatgpt.py,16,57,-41,18.3908,22.5296,-4.1388
original_vs_assisted,DecisionTreeClassifier,chatgpt,DecisionTreeClassifier/GENAIGREENML_assisted_chatgpt.py,DecisionTreeClassifier/GENAIGREENML_original_telemetry_chatgpt.py,12,0,12,24,0,24
original_vs_assisted,DecisionTreeClassifier,claude,DecisionTreeClassifier/GENAIGREENML_assisted_claude.py,DecisionTreeClassifier/GENAIGREENML_original_telemetry_chatgpt.py,2,0,2,10,0,10
original_vs_assisted,DecisionTreeClassifier,codex,DecisionTreeClassifier/GENAIGREENML_assisted_codex.py,DecisionTreeClassifier/GENAIGREENML_original_telemetry_chatgpt.py,17,0,17,34,0,34
original_vs_assisted,DecisionTreeClassifier,gemini,DecisionTreeClassifier/GENAIGREENML_assisted_gemini.py,DecisionTreeClassifier/GENAIGREENML_original_telemetry_chatgpt.py,3,0,3,12.5000,0,12.5000
original_vs_autonomous,DecisionTreeClassifier,chatgpt,DecisionTreeClassifier/GENAIGREENML_autonomous_chatgpt.py,DecisionTreeClassifier/GENAIGREENML_original_telemetry_chatgpt.py,69,0,69,33.3333,0,33.3333
original_vs_autonomous,DecisionTreeClassifier,claude,DecisionTreeClassifier/GENAIGREENML_autonomous_claude.py,DecisionTreeClassifier/GENAIGREENML_original_telemetry_chatgpt.py,8,0,8,13.1148,0,13.1148
original_vs_autonomous,DecisionTreeClassifier,codex,DecisionTreeClassifier/GENAIGREENML_autonomous_codex.py,DecisionTreeClassifier/GENAIGREENML_original_telemetry_chatgpt.py,49,0,49,28.8235,0,28.8235
original_vs_autonomous,DecisionTreeClassifier,gemini,DecisionTreeClassifier/GENAIGREENML_autonomous_gemini.py,DecisionTreeClassifier/GENAIGREENML_original_telemetry_chatgpt.py,11,0,11,14.1026,0,14.1026
original_vs_assisted,Deep-Learning-Classification,chatgpt,Deep-Learning-Classification/GENAIGREENML_assisted_chatgpt.py,Deep-Learning-Classification/GENAIGREENML_original_telemetry_chatgpt.py,21,0,21,21.6495,0,21.6495
original_vs_assisted,Deep-Learning-Classification,claude,Deep-Learning-Classification/GENAIGREENML_assisted_claude.py,Deep-Learning-Classification/GENAIGREENML_original_telemetry_chatgpt.py,4,0,4,7.8431,0,7.8431
original_vs_assisted,Deep-Learning-Classification,codex,Deep-Learning-Classification/GENAIGREENML_assisted_codex.py,Deep-Learning-Classification/GENAIGREENML_original_telemetry_chatgpt.py,33,0,33,34.3750,0,34.3750
original_vs_assisted,Deep-Learning-Classification,gemini,Deep-Learning-Classification/GENAIGREENML_assisted_gemini.py,Deep-Learning-Classification/GENAIGREENML_original_telemetry_chatgpt.py,4,0,4,10.5263,0,10.5263
original_vs_autonomous,Deep-Learning-Classification,chatgpt,Deep-Learning-Classification/GENAIGREENML_autonomous_chatgpt.py,Deep-Learning-Classification/GENAIGREENML_original_telemetry_chatgpt.py,44,0,44,23.5294,0,23.5294
original_vs_autonomous,Deep-Learning-Classification,codex,Deep-Learning-Classification/GENAIGREENML_autonomous_codex.py,Deep-Learning-Classification/GENAIGREENML_original_telemetry_chatgpt.py,45,0,45,27.7778,0,27.7778
original_vs_autonomous,Deep-Learning-Classification,gemini,Deep-Learning-Classification/GENAIGREENML_autonomous_gemini.py,Deep-Learning-Classification/GENAIGREENML_original_telemetry_chatgpt.py,10,0,10,14.9254,0,14.9254
original_vs_assisted,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,chatgpt,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_assisted_chatgpt.py,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_original_telemetry_chatgpt.py,19,2,17,13.0137,1.8868,11.1269
original_vs_assisted,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,claude,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_assisted_claude.py,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_original_telemetry_chatgpt.py,4,2,2,6.4516,1.8868,4.5648
original_vs_assisted,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,codex,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_assisted_codex.py,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_original_telemetry_chatgpt.py,36,2,34,26.0870,1.8868,24.2002
original_vs_assisted,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,gemini,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_assisted_gemini.py,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_original_telemetry_chatgpt.py,2,2,0,3.0303,1.8868,1.1435
original_vs_autonomous,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,chatgpt,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_autonomous_chatgpt.py,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_original_telemetry_chatgpt.py,60,2,58,30.1508,1.8868,28.2640
original_vs_autonomous,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,codex,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_autonomous_codex.py,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_original_telemetry_chatgpt.py,64,2,62,30.7692,1.8868,28.8824
original_vs_autonomous,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,gemini,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_autonomous_gemini.py,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_original_telemetry_chatgpt.py,15,2,13,18.7500,1.8868,16.8632
