project,relative_path,file,mode,llm,complexity,ncloc,cognitive_complexity,complexity_per_100_ncloc
Decision-Trees,Decision-Trees/GENAIGREENML_autonomous_gemini.py,GENAIGREENML_autonomous_gemini.py,autonomous,gemini,16,87,19,18.3908
Decision-Trees,Decision-Trees/GENAIGREENML_original_telemetry_chatgpt.py,GENAIGREENML_original_telemetry_chatgpt.py,original,baseline,57,253,62,22.5296
DecisionTreeClassifier,DecisionTreeClassifier/GENAIGREENML_assisted_chatgpt.py,GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,12,50,6,24
DecisionTreeClassifier,DecisionTreeClassifier/GENAIGREENML_assisted_claude.py,GENAIGREENML_assisted_claude.py,assisted,claude,2,20,2,10
DecisionTreeClassifier,DecisionTreeClassifier/GENAIGREENML_assisted_codex.py,GENAIGREENML_assisted_codex.py,assisted,codex,17,50,13,34
DecisionTreeClassifier,DecisionTreeClassifier/GENAIGREENML_assisted_gemini.py,GENAIGREENML_assisted_gemini.py,assisted,gemini,3,24,2,12.5000
DecisionTreeClassifier,DecisionTreeClassifier/GENAIGREENML_autonomous_chatgpt.py,GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,69,207,95,33.3333
DecisionTreeClassifier,DecisionTreeClassifier/GENAIGREENML_autonomous_claude.py,GENAIGREENML_autonomous_claude.py,autonomous,claude,8,61,9,13.1148
DecisionTreeClassifier,DecisionTreeClassifier/GENAIGREENML_autonomous_codex.py,GENAIGREENML_autonomous_codex.py,autonomous,codex,49,170,61,28.8235
DecisionTreeClassifier,DecisionTreeClassifier/GENAIGREENML_autonomous_gemini.py,GENAIGREENML_autonomous_gemini.py,autonomous,gemini,11,78,19,14.1026
DecisionTreeClassifier,DecisionTreeClassifier/GENAIGREENML_original_telemetry_chatgpt.py,GENAIGREENML_original_telemetry_chatgpt.py,original,baseline,0,13,0,0
Deep-Learning-Classification,Deep-Learning-Classification/GENAIGREENML_assisted_chatgpt.py,GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,21,97,13,21.6495
Deep-Learning-Classification,Deep-Learning-Classification/GENAIGREENML_assisted_claude.py,GENAIGREENML_assisted_claude.py,assisted,claude,4,51,4,7.8431
Deep-Learning-Classification,Deep-Learning-Classification/GENAIGREENML_assisted_codex.py,GENAIGREENML_assisted_codex.py,assisted,codex,33,96,38,34.3750
Deep-Learning-Classification,Deep-Learning-Classification/GENAIGREENML_assisted_gemini.py,GENAIGREENML_assisted_gemini.py,assisted,gemini,4,38,8,10.5263
Deep-Learning-Classification,Deep-Learning-Classification/GENAIGREENML_autonomous_chatgpt.py,GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,44,187,49,23.5294
Deep-Learning-Classification,Deep-Learning-Classification/GENAIGREENML_autonomous_codex.py,GENAIGREENML_autonomous_codex.py,autonomous,codex,45,162,86,27.7778
Deep-Learning-Classification,Deep-Learning-Classification/GENAIGREENML_autonomous_gemini.py,GENAIGREENML_autonomous_gemini.py,autonomous,gemini,10,67,15,14.9254
Deep-Learning-Classification,Deep-Learning-Classification/GENAIGREENML_original_telemetry_chatgpt.py,GENAIGREENML_original_telemetry_chatgpt.py,original,baseline,0,62,0,0
Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_assisted_chatgpt.py,GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,19,146,12,13.0137
Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_assisted_claude.py,GENAIGREENML_assisted_claude.py,assisted,claude,4,62,3,6.4516
Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_assisted_codex.py,GENAIGREENML_assisted_codex.py,assisted,codex,36,138,43,26.0870
Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_assisted_gemini.py,GENAIGREENML_assisted_gemini.py,assisted,gemini,2,66,2,3.0303
Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_autonomous_chatgpt.py,GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,60,199,74,30.1508
Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_autonomous_codex.py,GENAIGREENML_autonomous_codex.py,autonomous,codex,64,208,100,30.7692
Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_autonomous_gemini.py,GENAIGREENML_autonomous_gemini.py,autonomous,gemini,15,80,28,18.7500
Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_original_telemetry_chatgpt.py,GENAIGREENML_original_telemetry_chatgpt.py,original,baseline,2,106,1,1.8868
Diabetes-Classification-with-SVM,Diabetes-Classification-with-SVM/GENAIGREENML_assisted_chatgpt.py,GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,15,69,12,21.7391
Diabetes-Classification-with-SVM,Diabetes-Classification-with-SVM/GENAIGREENML_assisted_claude.py,GENAIGREENML_assisted_claude.py,assisted,claude,2,45,3,4.4444
Diabetes-Classification-with-SVM,Diabetes-Classification-with-SVM/GENAIGREENML_assisted_codex.py,GENAIGREENML_assisted_codex.py,assisted,codex,11,80,8,13.7500
Diabetes-Classification-with-SVM,Diabetes-Classification-with-SVM/GENAIGREENML_assisted_gemini.py,GENAIGREENML_assisted_gemini.py,assisted,gemini,4,48,4,8.3333
Diabetes-Classification-with-SVM,Diabetes-Classification-with-SVM/GENAIGREENML_autonomous_chatgpt.py,GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,56,212,77,26.4151
Diabetes-Classification-with-SVM,Diabetes-Classification-with-SVM/GENAIGREENML_autonomous_claude.py,GENAIGREENML_autonomous_claude.py,autonomous,claude,13,58,13,22.4138
Diabetes-Classification-with-SVM,Diabetes-Classification-with-SVM/GENAIGREENML_autonomous_codex.py,GENAIGREENML_autonomous_codex.py,autonomous,codex,45,180,71,25
Diabetes-Classification-with-SVM,Diabetes-Classification-with-SVM/GENAIGREENML_autonomous_gemini.py,GENAIGREENML_autonomous_gemini.py,autonomous,gemini,19,83,24,22.8916
Diabetes-Classification-with-SVM,Diabetes-Classification-with-SVM/GENAIGREENML_original_telemetry_chatgpt.py,GENAIGREENML_original_telemetry_chatgpt.py,original,baseline,2,48,1,4.1667
Email-spam-detector,Email-spam-detector/GENAIGREENML_assisted_chatgpt.py,GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,19,72,14,26.3889
Email-spam-detector,Email-spam-detector/GENAIGREENML_assisted_claude.py,GENAIGREENML_assisted_claude.py,assisted,claude,11,42,10,26.1905
Email-spam-detector,Email-spam-detector/GENAIGREENML_assisted_codex.py,GENAIGREENML_assisted_codex.py,assisted,codex,15,67,12,22.3881
Email-spam-detector,Email-spam-detector/GENAIGREENML_assisted_gemini.py,GENAIGREENML_assisted_gemini.py,assisted,gemini,26,87,47,29.8851
Email-spam-detector,Email-spam-detector/GENAIGREENML_autonomous_chatgpt.py,GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,81,239,109,33.8912
Email-spam-detector,Email-spam-detector/GENAIGREENML_autonomous_codex.py,GENAIGREENML_autonomous_codex.py,autonomous,codex,50,191,108,26.1780
Email-spam-detector,Email-spam-detector/GENAIGREENML_autonomous_gemini.py,GENAIGREENML_autonomous_gemini.py,autonomous,gemini,19,70,28,27.1429
Email-spam-detector,Email-spam-detector/GENAIGREENML_original_telemetry_chatgpt.py,GENAIGREENML_original_telemetry_chatgpt.py,original,baseline,15,72,24,20.8333
FakeNewsPrediction,FakeNewsPrediction/GENAIGREENML_assisted_chatgpt.py,GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,16,77,11,20.7792
FakeNewsPrediction,FakeNewsPrediction/GENAIGREENML_assisted_claude.py,GENAIGREENML_assisted_claude.py,assisted,claude,5,45,3,11.1111
FakeNewsPrediction,FakeNewsPrediction/GENAIGREENML_assisted_codex.py,GENAIGREENML_assisted_codex.py,assisted,codex,16,73,10,21.9178
FakeNewsPrediction,FakeNewsPrediction/GENAIGREENML_assisted_gemini.py,GENAIGREENML_assisted_gemini.py,assisted,gemini,3,41,2,7.3171
FakeNewsPrediction,FakeNewsPrediction/GENAIGREENML_autonomous_chatgpt.py,GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,68,201,105,33.8308
FakeNewsPrediction,FakeNewsPrediction/GENAIGREENML_autonomous_codex.py,GENAIGREENML_autonomous_codex.py,autonomous,codex,62,206,94,30.0971
FakeNewsPrediction,FakeNewsPrediction/GENAIGREENML_autonomous_gemini.py,GENAIGREENML_autonomous_gemini.py,autonomous,gemini,15,73,26,20.5479
FakeNewsPrediction,FakeNewsPrediction/GENAIGREENML_original_telemetry_chatgpt.py,GENAIGREENML_original_telemetry_chatgpt.py,original,baseline,2,24,1,8.3333
